Layer,Name,GEOID,Population,Longitude,Latitude,PCT-W_2016-2020,PCT-B_2016-2020,PCT-A_2016-2020,PCT-H_2016-2020,PCT-P_2016-2020,PCT-Q_2016-2020,POP_2015-2019,EDB_2015-2019,EDX_2015-2019,INC_2015-2019,HDX_2015-2019,DIV_2015-2019,DIS_2015-2019,SVI_2020,CZM_2016-2020,HTJ_2015-2019,EVR_2018,RBU_2015-2019,VAC_2015-2019,PMC_2021,LFA_2019,UNS_2015-2019
(Indicator name),,,,,,"Demographics, Non-Hispanic White (% of residents), 2016-2020","Demographics, Non-Hispanic Black (% of residents), 2016-2020","Demographics, Asian (% of residents), 2016-2020","Demographics, Hispanic or Latino (% of residents), 2016-2020","Demographics, Native American (% of residents), 2016-2020","Demographics, Two or more races (% of residents), 2016-2020","Population (residents), 2015-2019","High school graduation rate (% of residents), 2015-2019","Economic Diversity Index, 2015-2019","Median household income, 2015-2019","Hardship Index (score), 2015-2019","Cognitive difficulty (% of residents), 2015-2019","Disability (% of residents), 2015-2019","Social Vulnerability Index (percentile), 2020","Major crime (crimes), 2016-2020","Crowded housing (% of occupied housing units), 2015-2019","Eviction rate (% of renter-occupied households), 2018","Rent-burdened (% of renter-occupied housing units), 2015-2019","Vacant (% of housing units), 2015-2019","Particulate matter (PM 2.5) concentration (µg/m3), 2021","Low food access (% of residents), 2019","Uninsured rate (% of residents), 2015-2019"
(Definition),,,,,,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Average population over the time period.","Residents 25 or older with at least a high school degree: including GED and any higher education","The Economic Diversity Index measures the probability that any two residents of an area, chosen at random, belong to different family income levels, measured as multiples of the Federal Poverty Level. A score of 0 represents a perfectly homogenous community; the higher the score, the more economically diverse the area. The highest possible score is 0.833, not 1.","Income in the past 12 months.","The Hardship Index is a composite score reflecting hardship in the community (higher values indicate greater hardship). It incorporates unemployment, age dependency, education, per capita income, crowded housing, and poverty into a single score that allows comparison between geographies. It is highly correlated with other measures of economic hardship, such as labor force statistics, and with poor health outcomes. See technical notes for details.","Percent of residents reporting a cognitive difficulty.","Percent of residents with a disability, defined as one or more sensory disabilities or difficulties with everyday tasks.","The Social Vulnerability Index was created to help public health officials and emergency response planners identify and map the communities that will most likely need support before, during, and after a hazardous event, such as a natural disaster, disease outbreak, or chemical spill. SVI indicates relative vulnerability by ranking places on 15 social factors, including unemployment, minority status, and disability, and combining the rankings into a single scale from the 0th percentile (lowest vulnerability) to 100th percentile (highest vulnerability).","The most serious offenses, also known as index crimes. Includes homicide, criminal sexual assault, robbery, aggravated assault, aggravated battery, burglary, larceny, vehicle theft, and arson.","Percent of occupied housing units with more than one occupant per room (e.g. three occupants in a one-bedroom apartment).","Percentage of renter-occupied housing units with an eviction over the past year. An eviction happens when a landlord expels people from property he or she owns. Evictions are landlord-initiated involuntary moves that happen to renters. This is based on available eviction records and estimates for missing data, and does not include voluntary move-outs or evictions that take place outside of the legal system. A high eviction rate could be based on a high number of evictions, a very low number of renter-occupied units, or both.","Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees.","","Annual average concentration in micrograms per cubic meter. PM 2.5, or particulate matter smaller than 2.5 microns in diameter, is one of the most dangerous pollutants because the particles can penetrate deep into the alveoli of the lungs.","Percent of residents who have low access to food, defined solely by distance: further than 1/2 mile from the nearest supermarket in an urban area, or further than 10 miles in a rural area.","Percent of residents without health insurance (at the time of the survey)."
(Citation),,,,,,"American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (Table B15002)","American Community Survey (Table B17026 (Calculated by Metopio))","American Community Survey (Table B19013)","American Community Survey (Calculated by Metopio)","American Community Survey (Table S1810)","American Community Survey (Table S1810)","Centers for Disease Control and Prevention (CDC) (Agency for Toxic Substances and Disease Registry / Geospatial Research, Analysis, and Services Program)","Crime data portal","American Community Survey (Table B25014)","The Eviction Lab at Princeton University (All yearly data), Cook County Sheriff's Office of Research (Monthly data in Chicago only)","American Community Survey (Table B25070)","American Community Survey (Table B25002)","Environmental Protection Agency, EJSCREEN (EJSCREEN)","USDA, Economic Research Service, Food Access Research Atlas (Food Access Research Atlas)","American Community Survey (Tables B27001/C27001)"
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Census tract,Tract 101,17031010100,4599,-87.66983160,42.02125640,44.250645994832,34.9698535745047,1.95951765719208,15.1593453919035,0.0,3.29457364341085,4599.0,88.2788402220851,0.795723203293321,34445.6794516294,63.9,6.64592131584797,13.9364303178484,85.008574611294,164.8,2.79305966991113,0.8,47.2668810289389,10.1862409730141,9.705475342,22.36,7.86841520337853
Census tract,Tract 102.01,17031010201,7455,-87.68014840,42.01600770,30.0480769230769,33.6538461538462,5.44871794871795,23.3573717948718,0.133547008547008,5.38194444444444,7455.0,80.3294958316792,0.806040029999744,48410.0007542315,83.8,7.52587017873942,12.5923934954979,95.11,168.4,10.9938114306516,0.83,57.8307392996109,7.88061703554661,9.765346575,0.0,11.7860502620616
Census tract,Tract 102.02,17031010202,2896,-87.67332160,42.01605070,28.8839568801522,32.4667089410273,6.27774254914394,26.2523779327838,0.0,1.96575776791376,2896.0,79.0314528207688,0.758278079204501,44004.8487322256,86.4,5.27540729247479,12.6842513576416,97.2283344789086,330.8,16.2852112676056,0.68,54.1619156214367,10.410094637224,9.739892603,0.0,21.7610550814585
Census tract,Tract 103,17031010300,6485,-87.66653510,42.01594070,49.60065199674,29.2094539527302,2.54278728606357,15.0448247758761,0.13039934800326,2.98288508557457,6485.0,89.8076923076923,0.783240143695362,43754.5198429424,51.8,2.44384546271339,11.1949685534591,83.71,154.6,6.63215787770948,0.24,57.6866764275256,8.63139225539462,9.723149041,30.79,13.4231805929919
Census tract,Tract 104,17031010400,5213,-87.65881570,42.00641090,67.7065280184864,18.5827074908531,4.40978239938379,7.91450028885038,0.0,1.03986135181976,5213.0,96.2249905624764,0.77880442349679,42110.4106124803,45.8,4.23940149625935,8.21024362171494,69.62,117.6,3.67203219315895,0.64,51.6602809706258,10.6918238993711,9.745669863,0.1,6.98254364089775
Census tract,Tract 105.01,17031010501,4102,-87.66395830,42.00941190,49.3934142114385,33.9192869522159,6.31344392176281,7.65040851695964,0.0,2.10448130725427,4102.0,96.4631197097944,0.787529834009871,42142.232081457,33.1,8.49609375,13.9892578125,63.3,90.0,1.2636899747262,0.63,51.0472479298587,11.0194902548726,9.749343014,0.0,11.5478515625
