Layer,Name,GEOID,Population,Longitude,Latitude,LDPP_2021,LDPP_2021_se,LDPPH_2016,LDPPH_2016_se,LDPP_2020,LDPP_2020_se,LDPP_2019,LDPP_2019_se,LDPP_2018,LDPP_2018_se,LDPP_2017,LDPP_2017_se,LDPPH_2015,LDPPH_2015_se,LDPPH_2014,LDPPH_2014_se,LDPPH_2013,LDPPH_2013_se,LDPPH_2012,LDPPH_2012_se,LDPPH_2011,LDPPH_2011_se,LDPPH_2006,LDPPH_2006_se,LDPPH_2007,LDPPH_2007_se,LDPPH_2008,LDPPH_2008_se,LDPPH_2009,LDPPH_2009_se,LDPPH_2010,LDPPH_2010_se,LDPPH_2005,LDPPH_2005_se,LDPPH_2004,LDPPH_2004_se,LDPPH_2003,LDPPH_2003_se,LDPPH_2002,LDPPH_2002_se,LDPPH_2001,LDPPH_2001_se,LDPPH_1996,LDPPH_1996_se,LDPPH_1997,LDPPH_1997_se,LDPPH_1998,LDPPH_1998_se,LDPPH_1999,LDPPH_1999_se,LDPPH_2000,LDPPH_2000_se
,,,,,,"Lead poisoning rate (% of children ages 1-5), 2021",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2016",(Standard error),"Lead poisoning rate (% of children ages 1-5), 2020",(Standard error),"Lead poisoning rate (% of children ages 1-5), 2019",(Standard error),"Lead poisoning rate (% of children ages 1-5), 2018",(Standard error),"Lead poisoning rate (% of children ages 1-5), 2017",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2015",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2014",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2013",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2012",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2011",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2006",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2007",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2008",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2009",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2010",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2005",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2004",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2003",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2002",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2001",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 1996",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 1997",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 1998",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 1999",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2000",(Standard error)
Community area,Rogers Park,1,52772,-87.67017100,42.00963000,3.1413612565,0.5644512464,0.6907137375,0.2294413923,2.6422764228,0.5113011634,2.8816199377,0.466859879,2.9411764706,0.4763626827,2.9935275081,0.4847108569,0.4601226994,0.18741165,0.824742268,0.2370987687,0.9078212291,0.2506388256,1.2203389831,0.2858761983,0.5517241379,0.1945250879,2.1011673152,0.4000990417,1.5825169555,0.3425901337,1.2772351615,0.3077903929,1.1053315995,0.2665965743,0.6430868167,0.2027069559,2.5541795666,0.438910595,4.0376850606,0.5106309963,4.678692221,0.5013954941,4.9303322615,0.5011909984,6.1561561562,0.5377246752,18.743047831,0.9203553206,16.277807922,0.8599151245,12.720848057,0.748636597,11.19804401,0.6973257374,7.8781512605,0.617390593
Community area,Norwood Park,10,41109,-87.80345100,41.98524800,0.2433090024,0.2430128258,0.2976190476,0.2971758321,0.4866180049,0.343252666,0.2066115702,0.2063980182,0.0,,0.7575757576,0.3081052693,0.2808988764,0.2805040781,0.2688172043,0.2684556477,0.0,,0.0,,0.0,,0.5747126437,0.4052137571,1.0025062657,0.4987342569,0.8379888268,0.4817816603,0.0,,0.5154639175,0.3635474157,0.296735905,0.296295317,0.3076923077,0.3072185702,0.9771986971,0.5614225545,0.3546099291,0.3539806297,1.5037593985,0.7462050544,1.9455252918,0.861560119,2.5641025641,1.0332829484,2.2556390977,0.9104159217,1.2765957447,0.7323232566,0.78125,0.5502650229
Community area,Jefferson Park,11,26201,-87.77116500,41.97883600,0.3039513678,0.3034890841,0.2597402597,0.2594027154,1.3661202186,0.6067600452,2.0501138952,0.6763300783,1.6587677725,0.6217336767,1.8617021277,0.69707649,0.5037783375,0.3553266533,0.283286119,0.2828845793,0.2433090024,0.2430128258,0.2551020408,0.2547764478,0.0,,1.2698412698,0.6308765133,1.256281407,0.5582859125,0.9950248756,0.4950310635,0.2512562814,0.2509404343,0.0,,0.0,,0.0,,1.5772870662,0.6997991423,1.9305019305,0.8549726346,1.1811023622,0.677870779,1.9230769231,0.952248017,4.5081967213,1.3282797862,1.8433179724,0.9131249229,2.0491803279,0.9069831382,1.872659176,0.8296000237
Community area,Forest Glen,12,19579,-87.75835800,41.99393800,0.6711409396,0.4729731174,0.0,,0.9771986971,0.5614225545,0.0,,0.0,,0.0,,0.0,,0.4464285714,0.4454309644,0.4237288136,0.42283013,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.395256917,0.3944750034,0.4347826087,0.4338363995,0.0,,0.8849557522,0.6229832188,0.0,,0.0,,3.5971223022,1.5794838911,0.0,,4.375,1.6170176541,0.0,,0.5154639175,0.5141336858
Community area,North Park,13,17522,-87.72357800,41.98365100,2.0467836257,0.7656534864,0.7575757576,0.4357266505,1.4836795252,0.6585809932,1.1441647597,0.508750349,1.4527845036,0.5887728189,1.902173913,0.7120834513,0.8403361345,0.4831254705,1.404494382,0.6236825074,1.1363636364,0.5649442886,1.2345679012,0.6134617222,0.5347593583,0.3771195652,1.1560693642,0.5746837282,1.4326647564,0.6361010069,0.2577319588,0.2573996157,1.0582010582,0.5262936099,0.2857142857,0.2853058305,1.1396011396,0.5665445399,2.0114942529,0.7525880942,3.1518624642,0.9352259574,3.4285714286,0.9726283108,2.752293578,0.9047179057,9.4827586207,1.9234859149,7.7981651376,1.8160915971,4.743083004,1.3363442907,3.7313432836,1.1577309989,6.1046511628,1.290842467
Community area,Albany Park,14,48549,-87.72155800,41.96807800,1.7376194613,0.3851530265,0.7989347537,0.229709448,2.2367194781,0.4514334978,2.4840312278,0.4146301692,1.9931271478,0.36640743,1.9581363943,0.3600391431,0.8044554455,0.222216551,0.6896551724,0.2072205872,0.8567931457,0.2280045149,0.9529481834,0.2370991908,1.4132278123,0.280641243,1.611974669,0.3021692867,1.5225666123,0.2855391399,1.4476614699,0.2818472545,1.1135857461,0.2476150173,0.8079552517,0.2231793732,2.4475524476,0.3730151292,2.7556968733,0.3768442177,5.0337311884,0.4980682294,5.4802259887,0.5409709423,6.6490765172,0.5723153149,15.114006515,0.9142261314,13.789039481,0.83696506,11.941143181,0.7714205425,11.015981735,0.7479982113,7.4273412271,0.608324352
Community area,Portage Park,15,63038,-87.76340100,41.95404300,0.9884678748,0.2839323172,0.3007518797,0.1501496403,1.0951979781,0.3020853375,1.1371712864,0.2826717517,1.6312056738,0.3373443801,1.3908205841,0.3088266598,0.6807866868,0.2261551256,0.2926115582,0.1460915685,0.5755395683,0.2028975555,0.2896451846,0.1446127044,0.4864489229,0.1834126721,1.3968775678,0.3364179936,1.5117157974,0.3354651728,0.8504606662,0.2444606486,1.2132822478,0.2766523227,0.8513425016,0.2351126834,1.733102253,0.3841605919,2.4086378738,0.4418534007,2.2281639929,0.4406401158,3.1161473088,0.5339329345,3.0710172745,0.5344832476,7.9051383399,0.9793807176,6.3901345291,0.8189047383,6.6499372647,0.8825451253,4.7297297297,0.7123449963,4.0498442368,0.6352268671
Community area,Irving Park,16,51911,-87.72345700,41.95358900,1.3713080169,0.3777156466,0.2533783784,0.1461026262,1.3485477178,0.3714893637,1.4795474326,0.356178443,1.625320787,0.3698315468,1.0517799353,0.2901731328,0.3736920777,0.166807628,0.5263157895,0.1984044829,0.5299015897,0.1997526163,0.9226401703,0.2547111142,0.6147540984,0.2042871908,0.8365019011,0.2511577068,1.6986706056,0.3511760982,0.7153075823,0.2253896535,1.1879804333,0.286411014,1.3148283419,0.3078638916,2.2660818713,0.4023624135,3.6697247706,0.519869424,3.530259366,0.4953408321,4.8780487805,0.5769418699,5.5442866802,0.5950491899,11.64021164,0.9523602153,9.6663815227,0.8642699518,8.3064516129,0.7837297216,6.334841629,0.6689369025,5.5515501081,0.614845953
Community area,Dunning,17,43120,-87.80601500,41.94652200,0.487804878,0.280946525,0.3466204506,0.2446725231,0.9451795841,0.4206947939,0.762195122,0.3395625117,0.4273504274,0.2462031171,0.6430868167,0.3205078391,0.3305785124,0.2333676172,0.163132137,0.1629990222,0.1497005988,0.1495885055,0.0,,0.1515151515,0.1514003238,0.6289308176,0.3619697098,0.5736137667,0.3302248609,0.7619047619,0.3794983589,0.3021148036,0.2133044822,0.3053435115,0.2155805812,0.6276150628,0.3612148424,0.8888888889,0.4424647266,0.6880733945,0.3958902824,0.9708737864,0.4830746559,0.7614213198,0.437929976,1.7857142857,0.7914332682,2.3054755043,0.8056578266,3.4364261168,1.0678584202,1.8072289157,0.7311008683,1.3812154696,0.613417631
Community area,Montclare,18,14412,-87.79803300,41.92930600,0.3802281369,0.3795045813,0.0,,0.3984063745,0.3976119443,0.6042296073,0.4259620968,1.3029315961,0.647207806,0.0,,0.0,,0.0,,0.3003003003,0.2998490599,1.226993865,0.6097215309,1.1730205279,0.5830601736,1.3071895425,0.6493088577,0.2688172043,0.2684556477,0.2994011976,0.2989526562,0.0,,0.7672634271,0.4412770631,1.9305019305,0.8549726346,1.6891891892,0.7490208897,0.9009009009,0.6341571254,2.0202020202,0.9998459119,2.6595744681,1.1734748147,2.1276595745,2.1049032028,7.2463768116,3.1210545047,16.666666667,4.8112522432,6.7226890756,2.295546216,3.3333333333,1.4656562176
