blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE
170010001001,352,48,32,12,59,49.47726750741192,83.38465086573187
170010001002,377,73,12,111,12,132.85330255586422,133.9328189802634
170010001003,189,35,26,34,46,48.79549159502341,71.92357054540605
170010001004,352,37,12,12,36,38.897300677553446,54.3415126767741
170010001005,360,12,60,39,37,40.80441152620633,81.44937077718895
170010002011,154,26,30,32,12,41.23105625617661,52.38320341483518
170010002012,291,65,101,15,11,66.70832032063167,121.54011683390797
170010002021,193,26,39,29,55,38.948684188300895,77.86526825228306
170010002022,300,26,45,25,21,36.069377593742864,61.37589103222861
170010002023,262,12,12,29,12,31.38470965295043,35.679125549822544
170010004001,304,10,25,12,48,15.620499351813308,56.32938842203065
170010004002,239,25,18,34,20,42.20189569201838,50.049975024968795
170010004003,350,59,54,58,86,82.73451516749222,130.98473193468007
170010004004,130,12,12,12,25,16.97056274847714,32.51153641401772
170010005001,253,56,19,32,42,64.4980619863884,79.27799190191436
170010005002,262,15,12,27,11,30.886890422961002,34.91418050019218
170010006001,228,43,22,12,54,44.64302857109943,73.43704787094863
170010006002,273,8,37,42,12,42.7551166528639,57.8013840664737
170010006003,221,58,12,12,9,59.22837157984339,61.09828148156051
170010006004,315,49,17,28,66,56.43580423808985,88.48728722251576
170010006005,176,36,28,27,16,45,55.362442142665635
170010007001,95,33,12,24,10,40.80441152620633,43.69210454990696
170010007002,193,12,12,12,12,16.97056274847714,24
170010008001,444,93,42,27,46,96.84007434941384,115.14338886796757
170010008002,219,12,65,12,24,16.97056274847714,71.33722730804723
170010008003,370,28,31,12,12,30.463092423455635,45.088801270381985
170010009001,379,60,79,12,12,61.18823416311342,100.6429331846007
170010009002,304,33,43,46,17,56.61271941887264,73.09582751429797
170010010011,252,16,22,46,33,48.703182647543684,62.80923498976882
170010010012,313,22,64,69,92,72.42237223399962,133.4353776177817
