blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE,totalPopulationBG,pAllChildrenUnder5BG,pAllChildrenUnder10BG,totalChildrenUnder5BG,totalChildrenUnder10BG,pAllChildrenUnder5BG_MOE,pAllChildrenUnder5BG_MOE2,pAllChildrenUnder10BG_MOE,pAllChildrenUnder10BG_MOE2
170010001001,352,48,32,12,59,49.47726750741192,83.38465086573187,1236,0.03398058252427184,0.11165048543689321,42,138,0.03884279292025414,0.04118329186950723,0.059500043589422,0.07458110444960005
170010001002,377,73,12,111,12,132.85330255586422,133.9328189802634,663,0.21568627450980393,0.21568627450980393,143,143,0.15846494412735684,0.23493573062565268,0.16051892647758031,0.23632601372857315
170010001003,189,35,26,34,46,48.79549159502341,71.92357054540605,643,0.06687402799377916,0.15552099533437014,43,100,0.07329727515686683,0.07839167102261607,0.10208889079245745,0.12083667056901944
170010001004,352,37,12,12,36,38.897300677553446,54.3415126767741,913,0.023001095290251915,0.04600219058050383,21,42,0.04167069932362511,0.04351696456379046,0.056815843809537976,0.06210600775041583
170010001005,360,12,60,39,37,40.80441152620633,81.44937077718895,1197,0.026733500417710943,0.12030075187969924,32,144,0.03312716380995788,0.035024234784895525,0.0576283300897444,0.07706560349786744
170010002011,154,26,30,32,12,41.23105625617661,52.38320341483518,1159,0.059534081104400345,0.13977566867989646,69,162,0.034684034724728016,0.036443568866020105,0.041204661318225186,0.04886404455258295
170010002012,291,65,101,15,11,66.70832032063167,121.54011683390797,854,0.08548009367681499,0.1920374707259953,73,164,0.07247902042488762,0.08336669997977149,0.1263829055089383,0.15664147160764533
170010002021,193,26,39,29,55,38.948684188300895,77.86526825228306,564,0.0673758865248227,0.225177304964539,38,127,0.0650955030398149,0.0728050588254527,0.11455459856609701,0.15810696165332785
170010002022,300,26,45,25,21,36.069377593742864,61.37589103222861,1179,0.035623409669211195,0.12044105173876166,42,142,0.029219493549691253,0.03190781140728359,0.042080628099161986,0.06040864800374208
170010002023,262,12,12,29,12,31.38470965295043,35.679125549822544,618,0.0372168284789644,0.0372168284789644,23,23,0.04827112592245525,0.05317887440249143,0.05553537904010861,0.05985039189531645
170010004001,304,10,25,12,48,15.620499351813308,56.32938842203065,847,0.0059031877213695395,0.0885478158205431,5,75,0.018320037719894464,0.018563455047076134,0.058419401415666504,0.07370817280138182
