blockNum,medianAge,meanAge,nBlocks,minAge,maxAge,pOld
170311001001000,68,73.125,24,49,95,1
170311001001001,65,62.857142857142854,7,48,69,1
170311001001002,67,64,11,55,68,1
170311001001004,91,84.625,8,61,98,1
170311001001005,66,69.57142857142857,14,48,91,1
170311001001006,77,79.22727272727273,22,59,96,1
170311001001007,69,68.3529411764706,17,48,79,1
170311001001008,70,72.14285714285714,7,64,92,1
170311001001009,44,49.5,12,44,68,1
170311001001010,48,48,2,48,48,1
170311001001011,65,66.71428571428571,7,36,94,0.8571428571428571
170311001001012,59,59.2,5,44,82,1
170311001001013,59.5,59.5,4,49,70,1
170311001001014,69,68.14285714285714,7,64,74,1
170311001001015,67,67,2,63,71,1
170311001001016,67,67,1,67,67,1
170311001001017,66,78.28571428571429,14,53,100,1
170311001001018,66,66,8,65,67,1
170311001001019,94.5,86.33333333333333,6,64,100,1
170311001001021,92,85.44444444444444,18,64,94,1
170311001001022,94,94,2,93,95,1
170311001001024,95,88.42857142857143,14,61,100,1
170311001001025,77.5,69.66666666666667,6,25,100,0.8333333333333334
170311001001026,91,87.88888888888889,9,66,99,1
170311001001027,102,100.61538461538461,13,93,104,1
170311001001028,97,94.64285714285714,14,71,101,1
170311001001029,95,93.15384615384616,13,65,104,1
170311001001030,93.5,91.5,14,70,97,1
170311001001031,50.5,56.75,4,34,92,0.5
170311001001033,94,94.15384615384616,13,91,99,1
170311001001034,95,87.92307692307692,13,48,101,1
170311001001035,95,86.55555555555556,9,64,100,1
170311001001036,95,87.0909090909091,11,65,96,1
170311001001037,94,92.5625,16,82,100,1
170311001001038,94.5,93.66666666666667,12,90,97,1
170311001002001,69.5,69.8125,16,30,86,0.9375
170311001002002,91,86.2,10,53,97,1
170311001002003,87,82.83333333333333,12,53,96,1
170311001002004,70,69.76923076923077,13,62,74,1
170311001002005,73,77.8125,16,56,99,1
170311001002006,71,76.11111111111111,18,49,98,1
170311001002007,84,79,11,49,94,1
170311001002008,70,72.5,8,67,92,1
170311001002010,71,70.76470588235294,17,65,90,1
170311001002011,71,76.83333333333333,24,64,99,1
170311001002012,69,71.43478260869566,23,44,94,1
170311001002013,62,59,4,48,64,1
170311001002014,65,63.333333333333336,3,57,68,1
170311001002016,62,55.09090909090909,11,25,64,0.8181818181818182
170311001002017,63,63,7,61,65,1
170311001002018,93.5,88,16,65,98,1
170311001002019,91,84.3,10,49,98,1
170311001002020,82,79.55555555555556,9,66,94,1
170311001002021,63,63.68421052631579,19,49,79,1
170311001002022,86.5,85.5,10,66,100,1
170311001002024,59,61.30769230769231,13,23,95,0.9230769230769231
170311001002025,64,67.58823529411765,17,59,80,1
170311001002026,65,68.23076923076923,13,44,99,1
170311001002027,57,68.14285714285714,7,44,102,1
170311001002028,94,83.84615384615384,13,52,98,1
170311001002029,66,61.5,4,48,66,1
170311001002030,69,69,8,69,69,1
170311001002031,67,67,14,66,68,1
170311001002032,95.5,96.25,8,95,102,1
170311001002033,74,74.1,10,49,95,1
170311001002035,78,77.6923076923077,13,53,107,1
170311001002036,17,33.142857142857146,7,17,62,0.42857142857142855
170311001002037,67,78.06666666666666,15,62,97,1
170311001002038,79,75.28571428571429,7,68,79,1
170311001002039,72.5,79.96428571428571,28,53,107,1
170311001002040,91,80,23,15,98,0.9130434782608695
170311001002041,93,88.3157894736842,19,62,99,1
170311001002042,91,91,3,91,91,1
170311001002043,71,71,6,71,71,1
170311001003000,98,97.33333333333333,3,93,101,1
170311001003001,72,78.46666666666667,15,62,98,1
170311001003002,96,88.8,10,56,104,1
170311001003003,85,80.5,6,52,94,1
170311001003004,93,84.29411764705883,17,58,95,1
170311001003005,66,67.77777777777777,9,64,72,1
170311001003006,69,69.5,8,62,81,1
170311001003007,94,83.66666666666667,9,62,97,1
170311001003008,102,86.2,5,55,117,1
170311001003009,67,67.25,4,63,72,1
170311001003010,63.5,64.5,8,62,70,1
170311001003011,75,80.64285714285714,14,67,96,1
170311001003013,73.5,75,14,52,93,1
170311001003016,70,75.21428571428571,14,53,97,1
170311001003017,68,68.6923076923077,13,34,93,0.9230769230769231
170311001003018,66,64.83333333333333,12,53,91,1
170311001003019,65,70.47619047619048,21,16,97,0.9523809523809523
170311001003020,82,81.6470588235294,17,64,93,1
170311001003021,78,78.77777777777777,18,60,96,1
170311001003022,91,86.5,20,59,97,1
170311001003023,73,75.1,20,52,95,1
170311001003024,73,75.85714285714286,21,62,93,1
170311001003025,66,67.80952380952381,21,64,90,1
170311001004000,66,74.16666666666667,6,64,93,1
170311001004001,90,83.33333333333333,3,68,92,1
170311001004002,90,86.47058823529412,17,67,133,1
170311001004003,80,79.52631578947368,19,67,95,1
170311001004004,90.5,83.95,20,54,103,1
170311001004005,95,88.6,20,67,100,1
170311001004006,95,94.15,20,90,97,1
170311001004007,94,91.47368421052632,19,67,117,1
170311001004008,95,89.6842105263158,19,36,105,0.9473684210526315
170311001004009,82.5,80.1,20,49,98,1
170311001004010,95,91.66666666666667,12,66,98,1
170311001004011,93,79.33333333333333,18,44,99,1
170311001004012,81,76.375,8,30,95,0.875
170311001004013,70,69.625,8,62,74,1
170311001004014,94,88.2,5,63,98,1
170311001004015,94,93.45454545454545,11,86,96,1
170311001004017,78.5,79,10,49,112,1
170311001004018,63,64.85714285714286,7,16,124,0.8571428571428571
170311001004019,65,67.9047619047619,21,30,112,0.9523809523809523
170311001004020,62,70.78947368421052,19,56,107,1
170311001004021,96,84.76923076923077,13,48,101,1
170311001004022,96,92.07142857142857,14,44,121,1
170311001004023,85,81.84615384615384,13,66,92,1
170311001004024,71,75.66666666666667,15,49,94,1
170311001004025,94,89.6,15,70,95,1
170311001004026,94,90.66666666666667,15,48,97,1
170311001004027,96,92.3076923076923,13,62,96,1
170311001004028,92.5,86.66666666666667,12,65,96,1
170311001004029,79,79.35714285714286,14,67,110,1
170311001004031,94,85.64285714285714,14,58,94,1
170311001004032,68,74.75,8,65,90,1
170311001004033,65,64.625,8,63,65,1
170311002001001,71,70.4,5,53,86,1
170311002001002,67,74.94117647058823,17,50,142,1
170311002001003,94,87.23529411764706,17,60,99,1
170311002001004,95,90.84210526315789,19,65,99,1
170311002001005,97,86.27272727272727,11,16,110,0.9090909090909091
170311002001006,82,83.08333333333333,12,65,104,1
170311002001007,96,92,12,60,98,1
170311002001008,68,73.33333333333333,12,36,104,0.9166666666666666
170311002001009,94,87.91666666666667,12,64,98,1
170311002001010,98,90.5,10,48,107,1
170311002001011,92,86.73333333333333,15,68,109,1
170311002001012,70,79.21428571428571,14,44,110,1
170311002001013,60,62.75,4,48,83,1
170311002001014,68,75.9,10,66,107,1
170311002001015,65,64.57142857142857,7,61,70,1
170311002001016,90,84.84615384615384,13,36,135,0.9230769230769231
170311002001017,68.5,68.5,10,36,94,0.8
170311002001018,93,85.16666666666667,12,69,102,1
170311002001019,71,69.0909090909091,11,48,72,1
170311002001020,69,69.18181818181819,11,65,72,1
170311002001021,94,82.54545454545455,11,63,96,1
170311002001022,68,65.55555555555556,9,50,69,1
170311002001023,71,69.875,8,64,80,1
170311002002000,65,65,4,65,65,1
170311002002001,79,78.92307692307692,26,67,107,1
170311002002002,90,86.66666666666667,9,62,90,1
170311002002003,79,78.33333333333333,9,71,81,1
170311002002004,78,78.77777777777777,9,66,91,1
170311002002005,69,74.44,25,16,142,0.92
170311002002006,68,69.22222222222223,9,67,74,1
170311002002007,93,85.71428571428571,14,66,93,1
170311002002008,69,68.78571428571429,14,65,70,1
170311002002009,92,84.1304347826087,23,48,124,1
170311002002011,80,72.7560975609756,41,36,100,0.8780487804878049
170311002002012,80,82.14285714285714,14,68,93,1
170311002002013,90.5,85.64285714285714,14,64,91,1
170311002002014,92,84.66666666666667,12,69,96,1
170311002002015,79,81,13,70,96,1
170311002002016,91,87.84615384615384,13,63,117,1
170311002002017,85.5,84.66666666666667,6,66,104,1
170311002002018,94.5,86.625,8,60,95,1
170311002002019,96,92.54545454545455,11,66,99,1
170311002003000,65,74.73684210526316,19,57,127,1
170311002003001,95,89.57142857142857,7,61,97,1
170311002003002,97,94.55555555555556,18,56,97,1
170311002003003,91,84.41379310344827,29,54,112,1
170311002003004,93,92.375,8,86,97,1
170311002003005,92,77.58333333333333,24,16,110,0.8333333333333334
170311002003006,95,92.5925925925926,27,60,112,1
170311002003007,94.5,83.5,8,61,100,1
170311002003008,73,77.04761904761905,21,36,112,0.9523809523809523
170311002003009,92,86.24,25,16,99,0.96
170311002003010,94,87.76470588235294,17,53,100,1
170311002003011,69,76.70588235294117,17,36,100,0.9411764705882353
170311002003012,91,87.38888888888889,18,58,95,1
170311002003013,91,82.54545454545455,11,67,95,1
170311002003014,91,92.11764705882354,17,64,120,1
170311002003015,91,90.70588235294117,17,59,112,1
170311002003016,95,84.86666666666666,15,59,100,1
170311002003017,97,90,7,32,107,0.8571428571428571
170311002003018,91,80.52941176470588,17,63,94,1
170311002003019,55.5,55.5,2,44,67,1
170311002003020,62,60.333333333333336,3,57,62,1
170311002004000,94.5,86.5,8,44,96,1
170311002004001,101,89.55555555555556,9,15,101,0.8888888888888888
170311002004003,101,101,3,101,101,1
170311002004004,96,94.8,15,85,97,1
170311002004005,96,96,15,94,97,1
170311002004006,96,95.93333333333334,15,95,96,1
170311002004007,96,84.3125,16,15,101,0.875
170311002004008,67,68.75,28,16,107,0.8214285714285714
170311002004009,83.5,81.72727272727273,22,36,122,0.9545454545454546
170311002004010,101,101,2,101,101,1
170311002004011,34,47.333333333333336,3,32,76,0.3333333333333333
170311002004012,66,61.333333333333336,9,32,73,0.8888888888888888
170311002004013,73.5,77,8,59,102,1
170311002004014,69,75.9375,16,64,97,1
170311002004015,92,83.3529411764706,17,16,95,0.9411764705882353
170311002004016,94,85.29411764705883,17,62,99,1
170311002005000,91,79.95652173913044,23,17,117,0.9565217391304348
170311002005001,70,76.71428571428571,7,68,96,1
170311002005002,97,97.95652173913044,23,63,112,1
170311002005003,94,87.65,20,65,106,1
170311002005004,81.5,82.7,10,69,97,1
170311002005005,62,63,5,60,69,1
170311002005006,60,67.44,25,44,139,1
170311002005007,97,83.41666666666667,12,15,102,0.8333333333333334
170311002005008,98,98,3,98,98,1
170311002005009,50,63.916666666666664,12,15,137,0.9166666666666666
170311002005010,78,66.66666666666667,3,30,92,0.6666666666666666
170311002005011,81.5,76.16666666666667,6,34,99,0.8333333333333334
170311002005012,72,64.42857142857143,7,15,98,0.7142857142857143
170311002005013,97,92.54838709677419,31,36,132,0.967741935483871
170311002005014,93,84.10526315789474,19,49,100,1
170311002005015,85,79.22222222222223,9,34,109,0.8888888888888888
170311002005016,101.5,101.2,20,48,142,1
170311002006000,89.5,92.58333333333333,12,65,129,1
170311002006001,74,75.66666666666667,12,52,97,1
170311002006002,67,73.84615384615384,26,34,122,0.9615384615384616
170311002006003,64,65.66666666666667,15,44,122,1
170311002006004,68,77.6923076923077,13,54,126,1
170311002006005,63.5,62.791666666666664,24,50,106,1
170311002006006,66,71.55555555555556,9,52,101,1
170311002006008,85.5,80.61111111111111,18,52,100,1
170311002006009,87.5,86.57142857142857,14,65,100,1
170311002006010,95,95,17,95,95,1
170311002006011,95,95,15,95,95,1
170311002006012,95,95,14,95,95,1
170311002006013,95,91.08333333333333,12,70,95,1
170311002006014,66,73.14285714285714,14,62,107,1
170311002006015,94,89.5,18,65,106,1
170311002006016,64,64.27272727272727,22,48,98,1
170311002006017,65,78.35,20,53,127,1
170311002006018,67,77.66666666666667,6,65,104,1
170311002006019,91,84.83333333333333,12,15,100,0.9166666666666666
170311002007000,94,91.94736842105263,19,63,95,1
170311002007001,94,83.82608695652173,23,62,95,1
170311002007002,93,93,12,93,93,1
170311002007003,93,90.84615384615384,13,65,93,1
