communityArea,frequency_BW,weightedFrequency_BW,percent_BW,lower_BW,upper_BW,RSE_BW,frequency_Filtered,weightedFrequency_Filtered,percent_Filtered,lower_Filtered,upper_Filtered,RSE_Filtered,frequency_Unfiltered,weightedFrequency_Unfiltered,percent_Unfiltered,lower_Unfiltered,upper_Unfiltered,RSE_Unfiltered,CA
ROGERS PARK,30,12225,28.93,18.36,39.5,0.19,75,20266,47.96,37.63,58.3,0.11,36,9297,22,14.25,29.76,0.18,1
WEST RIDGE,44,17592,31.63,20.86,42.39,0.17,58,23011,41.37,29.76,52.98,0.14,36,13972,25.12,14.49,35.74,0.22,2
UPTOWN,34,10942,22.1,14.27,29.93,0.18,89,25615,51.74,42.38,61.1,0.09,50,12949,26.16,18.44,33.88,0.15,3
LINCOLN SQUARE,13,6043,17.84,6.98,28.71,0.31,85,18271,53.96,42.88,65.03,0.1,43,9549,28.2,18.85,37.54,0.17,4
NORTH CENTER,18,4179,13.68,5.55,21.8,0.3,85,14180,46.41,35.48,57.34,0.12,48,12195,39.91,28.03,51.8,0.15,5
LAKE VIEW,48,9991,10.93,7.33,14.53,0.17,253,53131,58.1,52.51,63.69,0.05,116,26984,29.51,24.15,34.87,0.09,6
LINCOLN PARK,11,2434,4.42,1.44,7.41,0.34,117,35364,64.27,55.64,72.9,0.07,54,16859,30.64,22.21,39.07,0.14,7
NEAR NORTH SIDE,36,12903,16.46,10.14,22.78,0.2,140,46684,59.56,51.96,67.16,0.07,54,18193,23.21,16.87,29.55,0.14,8
EDISON PARK,23,3026,38.62,23.21,54.03,0.2,31,2665,34.01,21.26,46.75,0.19,23,2040,26.04,13.38,38.69,0.25,9
NORWOOD PARK,30,7463,25.83,15.09,36.56,0.21,59,11938,41.31,30.52,52.1,0.13,44,9308,32.21,21.91,42.51,0.16,10
JEFFERSON PARK,43,7961,32.27,16.87,47.67,0.24,86,11553,46.83,32.98,60.68,0.15,44,4941,20.03,10.95,29.1,0.23,11
FOREST GLEN,29,3453,25.79,13.87,37.71,0.24,84,6595,49.24,37.89,60.6,0.12,37,3344,24.97,16.05,33.88,0.18,12
NORTH PARK,20,5455,39.03,20.39,57.68,0.24,26,3667,26.24,12.66,39.82,0.26,23,4853,34.73,16.6,52.85,0.27,13
ALBANY PARK,54,11159,24.84,13.57,36.1,0.23,154,22888,50.94,38.51,63.37,0.12,63,8842,19.68,10.03,29.33,0.25,14
PORTAGE PARK,43,27731,48.88,36.86,60.91,0.13,52,18290,32.24,21.56,42.92,0.17,27,9944,17.53,9.97,25.09,0.22,15
IRVING PARK,13,6328,17.39,6.31,28.46,0.32,62,19586,53.81,40.9,66.72,0.12,30,9153,25.15,14.6,35.7,0.21,16
DUNNING,30,15834,44.88,29.65,60.1,0.17,36,15497,43.92,29.27,58.58,0.17,11,3575,10.13,1.82,18.44,0.42,17
MONTCLARE,29,8713,49.47,30.67,68.26,0.19,22,3174,18.02,4.72,31.31,0.38,27,5152,29.25,13.44,45.05,0.28,18
BELMONT CRAGIN,36,24637,53.7,39.17,68.24,0.14,17,14394,31.38,17.09,45.66,0.23,15,6269,13.66,6.16,21.17,0.28,19
HERMOSA,29,7733,38.48,23.66,53.3,0.2,25,7649,38.06,23.51,52.61,0.2,20,4713,23.45,10.61,36.3,0.28,20
AVONDALE,15,10078,30.46,16.41,44.51,0.24,44,15174,45.87,31.99,59.74,0.15,12,4496,13.59,4.21,22.97,0.35,21
LOGAN SQUARE,13,7936,14.64,5.51,23.77,0.32,91,25998,47.96,38.13,57.79,0.1,60,18287,33.74,24.6,42.87,0.14,22
HUMBOLDT PARK,41,16526,49.71,33.86,65.55,0.16,33,12223,36.76,21.59,51.93,0.21,19,4230,12.72,5.19,20.26,0.3,23
WEST TOWN,26,9556,12.94,6.45,19.43,0.26,148,43432,58.79,50.46,67.12,0.07,62,19250,26.06,18.86,33.26,0.14,24
AUSTIN,49,34034,47.74,34.28,61.21,0.14,24,22903,32.13,18.89,45.37,0.21,17,11018,15.46,6.48,24.43,0.3,25
WEST GARFIELD PARK,46,9470,60,37.31,82.69,0.19,15,4237,26.84,4.66,49.03,0.42,14,1326,8.4,2.31,14.48,0.37,26
EAST GARFIELD PARK,54,9860,64.6,48.79,80.41,0.12,17,3728,24.43,9.64,39.21,0.31,7,1284,8.41,0,17.01,0.52,27
NEAR WEST SIDE,38,13655,28.32,17.99,38.65,0.19,102,26413,54.78,44.19,65.36,0.1,38,7880,16.34,9.73,22.95,0.21,28
NORTH LAWNDALE,43,17969,73.25,60.91,85.59,0.09,14,3146,12.82,4.28,21.37,0.34,14,2662,10.85,3.69,18.01,0.34,29
SOUTH LAWNDALE,42,20948,40.03,26.11,53.95,0.18,32,21681,41.43,27.25,55.61,0.17,12,7976,15.24,4.73,25.75,0.35,30
LOWER WEST SIDE,15,7209,26.62,10.62,42.61,0.31,43,14236,52.56,35.81,69.31,0.16,13,5302,19.57,7.25,31.9,0.32,31
LOOP,19,4026,10.67,4.95,16.39,0.27,85,25021,66.3,56.98,75.63,0.07,40,8451,22.39,14.63,30.16,0.18,32
NEAR SOUTH SIDE,11,3866,19.14,5.49,32.8,0.36,42,10669,52.83,38.57,67.09,0.14,24,5506,27.27,15.91,38.62,0.21,33
ARMOUR SQUARE,22,2265,24.47,12.72,36.21,0.24,26,4463,48.2,33.1,63.3,0.16,16,1665,17.98,7.38,28.59,0.3,34
DOUGLAS,34,8114,44.14,27.69,60.6,0.19,32,7516,40.89,26.07,55.71,0.18,15,2283,12.42,4.97,19.87,0.31,35
OAKLAND,56,4353,71.03,57.78,84.27,0.1,15,1090,17.79,6.99,28.58,0.31,5,419.10001,6.84,0.15,13.52,0.5,36
FULLER PARK,63,3730,35.76,20.6,50.93,0.22,15,1661,15.93,3.47,28.38,0.4,21,4977,47.72,27.71,67.74,0.21,37
GRAND BOULEVARD,46,6656,51.73,38.1,65.36,0.13,14,2959,23,9.84,36.16,0.29,19,2748,21.36,11.05,31.66,0.25,38
KENWOOD,35,6835,47.21,26.1,68.33,0.23,33,4092,28.26,14.26,42.26,0.25,17,3509,24.24,2.04,46.44,0.47,39
WASHINGTON PARK,49,3884,56.94,44.14,69.74,0.11,21,1658,24.31,13.98,34.64,0.22,13,1232,18.06,6.4,29.71,0.33,40
HYDE PARK,10,2542,12.62,3.98,21.25,0.35,47,11437,56.78,42.28,71.27,0.13,27,5873,29.15,14.66,43.65,0.25,41
WOODLAWN,37,10249,52.13,34.61,69.65,0.17,28,5925,30.14,15.53,44.74,0.25,14,3487,17.74,5.35,30.13,0.36,42
SOUTH SHORE,43,18245,61.97,48.27,75.67,0.11,16,6165,20.94,9.45,32.43,0.28,14,4173,14.17,5.53,22.82,0.31,43
CHATHAM,49,12986,51.27,36.15,66.4,0.15,23,6351,25.07,12.2,37.95,0.26,11,5094,20.11,5.73,34.49,0.36,44
AVALON PARK,44,9248,62.13,43.53,80.73,0.15,19,3532,23.73,8.28,39.18,0.33,11,1795,12.06,2.9,21.22,0.39,45
SOUTH CHICAGO,52,8684,62.04,39.97,84.11,0.18,16,2123,15.16,4.63,25.7,0.35,12,3027,21.62,0,44.92,0.55,46
BURNSIDE,50,1609,56.85,37.3,76.41,0.18,9,783.1668,27.68,6.34,49.01,0.39,10,364.09316,12.87,3.32,22.42,0.38,47
CALUMET HEIGHTS,43,6798,59.23,36.7,81.77,0.19,21,3064,26.69,6.61,46.77,0.38,12,965.54398,8.41,2.01,14.82,0.39,48
ROSELAND,49,13706,74.95,62.32,87.58,0.09,9,1859,10.17,2.37,17.96,0.39,9,1352,7.39,1.78,13.01,0.39,49
PULLMAN,56,3085,34.3,9.88,58.73,0.36,28,2105,23.41,0,48.33,0.54,12,2294,25.51,0,58.2,0.65,50
SOUTH DEERING,53,7860,50.7,27.84,73.56,0.23,12,4378,28.24,2.85,53.63,0.46,12,2065,13.32,0,27.63,0.55,51
EAST SIDE,48,9520,53.21,32.08,74.35,0.2,21,7226,40.39,17.89,62.88,0.28,12,1011,5.65,1.44,9.86,0.38,52
WEST PULLMAN,50,11229,69.47,48.8,90.13,0.15,12,3830,23.69,2.9,44.48,0.45,10,984.69941,6.09,0.97,11.21,0.43,53
RIVERDALE,79,14388,90.05,80.61,99.48,0.05,7,1213,7.59,0,16.54,0.6,10,346.17412,2.17,0.37,3.97,0.42,54
HEGEWISCH,37,2230,35.15,19.12,51.18,0.23,25,2923,46.06,27.9,64.22,0.2,21,954.67135,15.05,6.91,23.18,0.28,55
GARFIELD RIDGE,30,10040,36.89,22.34,51.45,0.2,29,8050,29.58,16.7,42.47,0.22,20,8976,32.98,17.59,48.37,0.24,56
ARCHER HEIGHTS,42,9632,52.45,37.09,67.82,0.15,36,5656,30.8,17.19,44.42,0.23,11,3074,16.74,5.56,27.93,0.34,57
BRIGHTON PARK,44,15217,54.8,38.2,71.4,0.15,23,9096,32.76,16.19,49.32,0.26,10,2400,8.64,1.41,15.87,0.43,58
MCKINLEY PARK,16,4006,25,7.18,42.83,0.36,29,8126,50.72,32.02,69.42,0.19,19,2561,15.99,6.37,25.6,0.31,59
BRIDGEPORT,23,5905,31.88,17.61,46.15,0.23,37,7857,42.42,27.96,56.88,0.17,22,3793,20.48,9.33,31.63,0.28,60
NEW CITY,44,13346,49.22,31.28,67.16,0.19,20,5169,19.06,6.61,31.51,0.33,12,7822,28.85,9.89,47.81,0.34,61
WEST ELSDON,60,9274,45.55,30.67,60.42,0.17,54,7264,35.67,22.31,49.04,0.19,21,3556,17.46,5.41,29.52,0.35,62
GAGE PARK,50,13466,49.37,35.08,63.66,0.15,24,9394,34.44,20.45,48.42,0.21,17,4205,15.42,5.5,25.34,0.33,63
CLEARING,44,8003,49.35,35.31,63.39,0.15,33,5222,32.2,18.77,45.62,0.21,12,2221,13.7,4.8,22.59,0.33,64
WEST LAWN,40,9844,43.03,27.7,58.35,0.18,28,9584,41.89,24.82,58.95,0.21,17,3452,15.09,6.05,24.12,0.31,65
CHICAGO LAWN,50,17510,56.67,41.12,72.22,0.14,19,9830,31.81,16.14,47.49,0.25,9,3041,9.84,2.23,17.46,0.39,66
WEST ENGLEWOOD,55,14445,72.46,59.4,85.53,0.09,14,2821,14.15,4.22,24.09,0.36,10,2438,12.23,2.87,21.59,0.39,67
ENGLEWOOD,51,13486,72.7,60.6,84.79,0.08,17,2496,13.46,5.59,21.32,0.3,15,2413,13.01,4.91,21.1,0.32,68
GREATER GRAND CROSSING,48,15547,62.8,48.87,76.73,0.11,17,3698,14.94,6.55,23.32,0.29,17,5365,21.67,8.78,34.56,0.3,69
ASHBURN,43,16257,54.4,35.55,73.25,0.18,21,11114,37.19,18.04,56.34,0.26,12,1971,6.59,1.97,11.22,0.36,70
AUBURN GRESHAM,52,17240,62.61,46.28,78.94,0.13,20,7727,28.06,11.17,44.95,0.31,14,2569,9.33,3.5,15.15,0.32,71
