Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
100030 S OAKLEY AVE,Chicago,IL,,2019-10-16T00:00:00Z,3,10,9.6,FALSE,100049 S OAKLEY AVE,NA,NA,NA,NA,NA,NA
10330 S RACINE AVE,Chicago,IL,,2021-07-20T07:00:00Z,1.9,1.3,1.1000000000000001,FALSE,10349 S RACINE AVE,-87.65246385299997,41.70618886900007,17,31,730700,2007
10330 S RACINE AVE,Chicago,IL,,2021-07-20T07:00:00Z,1.9,1.3,1.1000000000000001,FALSE,10349 S RACINE AVE,-87.65246385299997,41.70618886900007,17,31,730700,2007
10430 S RACINE AVE,Chicago,IL,,2020-01-23T00:00:00Z,1.1000000000000001,3.2,< 1,FALSE,10449 S RACINE AVE,-87.65238701399994,41.70384478500006,17,31,730700,2026
10530 S MARTIN ST,Chicago,IL,,2019-07-19T00:00:00Z,< 1,< 1,< 1,FALSE,10549 S MARTIN ST,-87.65596448399998,41.70245525900003,17,31,730700,2017
10630 S GLENROY AVE,Chicago,IL,,2021-12-14T09:30:00Z,<0.5,<0.5,<0.5,FALSE,10649 S GLENROY AVE,-87.65795679999997,41.698980250000034,17,31,750100,3003
10730 S AVENUE,Chicago,IL,,2021-10-13T07:14:00Z,2.1,2.6,2.8,FALSE,10749 S AVENUE,NA,NA,NA,NA,NA,NA
1030 N RIVER WALK,Chicago,IL,,2018-08-05T00:00:00Z,< 1,< 1,< 1,FALSE,1049 N RIVER WALK,NA,NA,NA,NA,NA,NA
1030 W 129TH PL,Chicago,IL,,2016-09-08T00:00:00Z,6.1,2.9,3.2,FALSE,1049 W 129TH PL,NA,NA,NA,NA,NA,NA
1030 W 129TH PL,Chicago,IL,,2021-11-30T16:00:00Z,2.7,6,1,FALSE,1049 W 129TH PL,NA,NA,NA,NA,NA,NA
11330 S HAMLIN AVE,Chicago,IL,,2016-09-11T00:00:00Z,1.6,1.9,1.8,FALSE,11349 S HAMLIN AVE,-87.71466327799999,41.686717619000035,17,31,740400,3013
