Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,number,street,streetName,is_letter,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
10730 S AVENUE,Chicago,IL,,2021-10-13T07:14:00Z,2.1,2.6,2.8,FALSE,10730 S AVENUE,10730, S AVENUE,AVENUE,FALSE,NA,NA,NA,NA,NA,NA
1030 N RIVER WALK,Chicago,IL,,2018-08-05T00:00:00Z,< 1,< 1,< 1,FALSE,1030 N RIVER WALK,1030, N RIVER WALK,RIVER WALK,FALSE,NA,NA,NA,NA,NA,NA
1030 W 129TH PL,Chicago,IL,,2016-09-08T00:00:00Z,6.1,2.9,3.2,FALSE,1030 W 129TH PL,1030129, W TH PL,129TH PL,FALSE,NA,NA,NA,NA,NA,NA
1030 W 129TH PL,Chicago,IL,,2021-11-30T16:00:00Z,2.7,6,1,FALSE,1030 W 129TH PL,1030129, W TH PL,129TH PL,FALSE,NA,NA,NA,NA,NA,NA
11430 S DR MARTIN LUTHER KING JR DR,Chicago,IL,,2020-11-24T00:00:00Z,1.3,7.4,< 1,FALSE,11430 S DR MARTIN LUTHER KING JR DR,11430, S DR MARTIN LUTHER KING JR DR,DR MARTIN LUTHER KING JR DR,FALSE,NA,NA,NA,NA,NA,NA
11430 S HAMLIN AVE,Chicago,IL,,2016-06-27T00:00:00Z,6.5,9.8000000000000007,4.9000000000000004,FALSE,11430 S HAMLIN AVE,11430, S HAMLIN AVE,HAMLIN AVE,FALSE,NA,NA,NA,NA,NA,NA
1230 N SANDBURG TER,Chicago,IL,,2017-03-30T00:00:00Z,1.3,< 1,< 1,FALSE,1230 N SANDBURG TER,1230, N SANDBURG TER,SANDBURG TER,FALSE,NA,NA,NA,NA,NA,NA
1230 W WESTGATE TER,Chicago,IL,,2018-05-19T00:00:00Z,2.9,4.2,2.2000000000000002,FALSE,1230 W WESTGATE TER,1230, W WESTGATE TER,WESTGATE TER,FALSE,NA,NA,NA,NA,NA,NA
1230 W WESTGATE TER,Chicago,IL,,2018-12-25T00:00:00Z,2,3.7,< 1,FALSE,1230 W WESTGATE TER,1230, W WESTGATE TER,WESTGATE TER,FALSE,NA,NA,NA,NA,NA,NA
13030 S DR MARTIN LUTHER KING JR DR,Chicago,IL,,2019-10-01T00:00:00Z,< 1,< 1,< 1,FALSE,13030 S DR MARTIN LUTHER KING JR DR,13030, S DR MARTIN LUTHER KING JR DR,DR MARTIN LUTHER KING JR DR,FALSE,NA,NA,NA,NA,NA,NA
13030 S DR MARTIN LUTHER KING JR DR,Chicago,IL,,2020-02-25T00:00:00Z,< 1,< 1,< 1,FALSE,13030 S DR MARTIN LUTHER KING JR DR,13030, S DR MARTIN LUTHER KING JR DR,DR MARTIN LUTHER KING JR DR,FALSE,NA,NA,NA,NA,NA,NA
13430 W ESTES AVE,Chicago,IL,,2018-07-31T00:00:00Z,< 1,< 1,< 1,FALSE,13430 W ESTES AVE,13430, W ESTES AVE,ESTES AVE,FALSE,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2018-07-12T00:00:00Z,< 1,< 1,< 1,FALSE,1330 W CRYSTAL ST,1330, W CRYSTAL ST,CRYSTAL ST,FALSE,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2019-02-18T00:00:00Z,< 1,< 1,< 1,FALSE,1330 W CRYSTAL ST,1330, W CRYSTAL ST,CRYSTAL ST,FALSE,NA,NA,NA,NA,NA,NA
