AffectedChildren_T,AffectedChildrenUnfiltered_T,MeanBLLIncrease,AffectedChildren_A,AffectedChildren_B,AffectedChildren_H,AffectedChildren_W,AffectedChildrenUF_A,AffectedChildrenUF_B,AffectedChildrenUF_H,AffectedChildrenUF_W,ChildPopulation_T,ChildPopulation_A,ChildPopulation_B,ChildPopulation_H,ChildPopulation_W
118074.17078570828,22101.685524905122,1.022625874528989,5867.028090657304,36378.872938753535,44659.42217384942,35169.92896839158,1477.3349826444478,4755.613386823982,7963.181908894421,8522.45187897463,188736.236799437,11474.184275340667,58478.000354921736,60450.16631424586,62650.028053028684
119090.87214060992,20237.684293743692,0.8758381313809084,6190.8030415209,36406.00489540153,44717.89731896635,35769.31143772112,1220.7776972287948,5116.484475617398,6962.429469478937,7474.625819955492,193410.62590694093,12203.484204744967,59589.96526615504,61593.707944008995,64414.37974876376
119970.18372321509,24265.06855944339,0.7381563308204672,5854.066898106086,36679.03497001635,45175.93008294562,36308.59798758931,1379.2579920798466,6185.207198843393,8883.419583218889,8546.745615575757,191278.98768465393,11570.584681763361,58761.92589330036,61468.34815306337,63979.27607824949
119597.04368664931,22708.56382084611,1.5602042185802318,5791.497377802133,37042.21611053063,44680.00262201879,36103.07001035213,1434.3191142377775,4938.901657698361,8177.469261548327,8838.988232664722,190845.29981099901,11342.621800628987,59176.48820124835,60975.745921554226,63761.044712401956
117408.96973734593,22130.817927366275,1.3613300541167002,5688.337640201813,35549.67934860416,44510.30973343502,35623.62701448104,1203.6617451977563,4944.460140141566,7974.474844144293,8631.146009194046,190167.50879646494,11839.104400000777,58050.32689341092,60830.178924505526,63803.15947300355
119615.72375250114,19711.06433365056,1.1998369321289892,5955.448854581006,36394.87994524116,45083.214189717735,36299.46375370513,1237.7009330844842,4354.82913373436,6916.499169405266,7749.3020742209865,191313.975163042,11933.813888346338,58299.780165941535,61278.03296547904,64227.35342883532
119361.6145991062,22269.129509591094,1.1724665886906742,6119.330197435487,36756.82463260381,44522.91869977158,35906.22311318269,1424.1770761917699,5112.509901931298,7705.468580222319,8611.947520729786,191235.08083721943,11852.652051314244,59331.877984893705,60906.89980424116,63496.66755804677
118500.16532286392,21341.904332938488,1.096910232904606,5918.096085263737,36295.92750084026,44635.26185703126,35594.7521907365,1287.833685264071,4880.232121943957,7420.937213874748,8302.227894445768,190490.41627129965,11731.265089359735,58737.93791829096,61018.20579849341,63355.09686883108
118877.03316122029,21818.81101391279,1.3396594377805326,6046.0225884115725,36384.62389282595,44734.3834301419,35781.33549875534,1393.395432373032,4740.07539414931,8066.78548484882,8266.186260527546,191126.25887657146,11615.786674131816,59444.83295563084,61220.276587918335,63332.881464124024
117164.12704723855,21849.912669304296,1.3838072944398194,5738.009036089643,35910.895347722224,44409.69617491649,35093.85575826215,1307.3586558075772,5561.312227521857,7589.866261068007,7983.659416420432,191470.04349371488,11783.230427766266,59143.44736844769,61307.409557703686,63639.2237099962
118433.64086816121,23652.937558780923,0.6547367292914644,5920.394819693485,36643.66063826436,44216.1998298765,35719.64042120996,1553.0819487441586,5683.2319785777645,8092.866151427627,8963.936996260467,191050.52426422402,11839.908434427862,58968.4931257737,61052.40808153013,63650.82920633491
119868.30012621892,22022.54204562649,0.5568642041083637,5908.225790633277,36780.3000541413,44860.39429254155,36339.0132561805,1423.2128089927885,5268.514680752561,7719.108781788176,8220.292096624698,190561.15057236954,11347.004705969677,58780.275472922636,61185.56299662719,63712.41258501719
118230.88803830014,22551.51793471395,1.2989458921824182,5833.288183734422,36901.48553053628,44131.1631293367,35358.62839037201,1399.7842486161396,5134.940152504888,8233.65936101806,8455.562605495637,189751.0648544382,11882.617815187969,58704.64053304158,60374.868090881806,63147.85095108755
119956.30570162549,21801.5530243666,0.5442277451712162,5736.173250146065,37192.99565503634,45064.789683186624,36015.54976814352,1320.1634408964428,5847.561304949628,7458.838731857079,7747.277703334962,192181.26530145566,11725.894157898654,60123.53006719006,61437.86970777524,63343.52180738319
119748.68636153758,21337.372490004705,1.237668287600072,5941.326562990731,37049.276323122904,44881.32992704742,35951.72033643499,1253.841050165296,5608.027143592143,7297.741948193389,7753.9634005870375,190011.411663243,11645.718564632094,58932.928738340415,60682.39124769855,63129.33421657585
120657.75410913282,22166.131759221622,1.5760145919523894,6139.052946144591,36661.32719056452,45253.12553139018,36679.05317144311,1438.0184026409083,5334.41999351696,7485.310630655268,8466.84919118107,190880.78687078005,11781.259003998057,58745.3111988586,61009.81344841427,63775.42658363237
